concreteness	fine_cat	word_de	word_en	word_length	log10_freq_opensubtitles	log10_freq_wac	old20_wac	concreteness_rating	familiarity	imageability
1	animal	Kamel	camel	5	2.72916478969277	1591	1.85	2.5714285373687744	4.590909004211426	5.38095235824585
1	animal	Tiger	tiger	5	3.611723308007342	5362	1.9	2.576923131942749	5.230769157409668	5.653846263885498
1	animal	Gepard	cheetah	6	2.143014800254095	119	2.6	2.738095283508301	4.952381134033203	5.690476417541504
1	animal	Falke	hawk	5	2.9429995933660407	845	1.85	2.9375	5.4375	5.480000019073486
1	animal	Schlange	snake	8	3.7500453120117676	8257	1.8	3.125	4.3125	5.6875
1	animal	Pinguin	penguin	7	2.8095597146352675	727	3.1	3.1875	5.0625	5.3125
1	animal	Elefant	elephant	7	3.0261245167454502	1996	2.65	3.200000047683716	4.599999904632568	5.849999904632568
1	animal	Delphin	dolphin	7	2.2095150145426308	607	3.15	3.375	4.647058963775635	5.125
1	food	Tabak	tobacco	5	3.0718820073061255	6569	2.6	3.6666667461395264	5.0	5.107142925262451
1	food	Schinken	ham	8	3.266231696689893	2423	1.9	4.709677219390869	5.25	5.4666666984558105
1	food	Kaugummi	gum	8	3.267406418752904	1181	4.5	4.840000152587891	5.639999866485596	5.480000019073486
1	food	Kuchen	pie	6	3.9032528168939584	9084	1.8	5.0	5.681818008422852	5.714285850524902
1	food	Honig	honey	5	3.250175948083925	6628	2.1	5.235294342041016	5.4375	5.588235378265381
1	food	Kaffee	coffee	6	4.4409562854218105	20752	2.6	5.266666889190674	5.800000190734863	5.5625
1	food	Limonade	lemonade	8	3.1192558892779365	664	3.8	5.294117450714111	4.058823585510254	5.705882549285889
1	food	Ketchup	ketchup	7	2.9552065375419416	798	3.95	5.400000095367432	5.050000190734863	5.599999904632568
1	place	Labor	lab	5	3.911743377855932	10434	2.05	3.7142856121063232	4.5714287757873535	4.5714287757873535
1	place	Theater	theater	7	3.844290743254343	35226	2.55	4.0	4.0	4.4210524559021
1	place	Brunnen	fountain	7	3.3919930722597127	8967	2.05	4.0	5.0625	5.199999809265137
1	place	Hotel	hotel	5	4.289544361497647	56138	1.9	4.354838848114014	4.46875	4.870967864990234
1	place	Kirche	church	6	4.161218219691016	154090	2.3	4.386363506317139	5.2272725105285645	5.340909004211426
1	place	Autobahn	highway	8	3.097604328874411	10508	3.35	4.722222328186035	4.333333492279053	5.222222328186035
1	place	Schule	school	6	4.5673440264062375	158996	1.55	4.882352828979492	4.470588207244873	5.058823585510254
1	place	Brücke	bridge	6	4.000130268805227	23406	1.85	5.0	4.807692527770996	5.592592716217041
1	instrument	Banjo	banjo	5	2.423245873936808	257	2.15	2.6190476417541504	4.761904716491699	5.095238208770752
