concreteness	fine_cat	word_de	word_en	word_length	log10_freq_opensubtitles	log10_freq_wac	old20_wac	concreteness_rating	familiarity	imageability
1	instrument	Saxophon	saxophone	8	2.292256071356476	924	3.9	2.866666555404663	5.625	5.5
1	instrument	Harfe	harp	5	2.48572142648158	1070	1.95	2.8888888359069824	5.037036895751953	5.592592716217041
1	instrument	Posaune	trombone	7	2.413299764081252	843	3.1	3.0	5.375	5.411764621734619
1	instrument	Trompete	trumpet	8	2.7715874808812555	1459	3.35	3.0370371341705322	5.4285712242126465	5.413793087005615
1	instrument	Geige	fiddle	5	3.0081741840064264	2110	1.75	3.8235294818878174	5.0	5.470588207244873
1	instrument	Glocke	bell	6	3.344195715871435	3383	2.05	4.0	5.190476417541504	5.523809432983398
1	instrument	Klavier	piano	7	3.4771212547196626	6824	2.75	4.261904716491699	5.5714287757873535	5.809523582458496
0	time_period	Sommer	summer	6	3.944334591970782	62018	1.9	5.642857074737549	2.6607143878936768	3.607142925262451
0	time_period	Nacht	night	5	5.0723491745891565	87781	1.4	5.5	2.8958332538604736	4.291666507720947
0	time_period	Abend	evening	5	4.979666719757698	72168	1.9	5.0	1.4375	3.3529412746429443
0	time_period	Frühling	spring	8	3.3654879848909	8449	3.2	4.933333396911621	2.7333333492279053	4.411764621734619
0	time_period	Winter	winter	6	3.7735670489260587	34158	1.8	4.7272725105285645	3.3809523582458496	4.4285712242126465
0	time_period	Morgen	morning	6	4.913760886412323	45688	1.8	4.5217390060424805	1.60869562625885	2.2083332538604736
0	time_period	Semester	semester	8	3.044539760392411	24232	2.7	3.625	1.1764706373214722	1.529411792755127
0	time_period	Epoche	era	6	2.4265112613645754	12229	2.7	2.0	0.7777777910232544	0.9444444179534912
0	emotion	Freude	joy	6	4.06725688923815	57013	1.65	5.4375	2.941176414489746	1.875
0	emotion	Liebe	love	5	4.775930681249248	134631	1.4	5.0	2.4375	2.4375
0	emotion	Furcht	dread	6	3.521007252408604	13825	2.3	4.038461685180664	1.9814814329147339	2.0
0	emotion	Begierde	lust	8	2.6972293427597176	2528	2.75	3.970588207244873	1.7647058963775635	1.470588207244873
0	emotion	Scham	shame	5	3.0115704435972783	4363	1.7	3.940000057220459	2.019230842590332	0.8148148059844971
0	emotion	Schuld	guilt	6	4.549101396583183	33454	1.8	3.411764621734619	1.8333333730697632	2.0
0	emotion	Trauer	grief	6	3.4784221877400805	12689	1.65	3.2799999713897705	1.9199999570846558	2.0399999618530273
0	emotion	Elend	woe	5	3.2216749970707688	10459	1.9	2.6666667461395264	2.25	3.0
0	abstract_construct	Hygiene	hygiene	7	2.5237464668115646	4368	3.1	5.151515007019043	2.909090995788574	2.242424249649048
0	abstract_construct	Problem	problem	7	4.876737297140664	140212	2.65	4.863636493682861	1.6363636255264282	1.2272727489471436
0	abstract_construct	Wahrheit	truth	8	4.653540523484712	70158	2.75	4.857142925262451	1.3333333730697632	0.9047619104385376
0	abstract_construct	Nummer	number	6	4.535142153697754	28931	1.7	4.833333492279053	1.600000023841858	4.0
0	abstract_construct	Glück	luck	5	4.785315595613992	68886	2.2	4.75	1.0833333730697632	1.56521737575531
0	abstract_construct	Realität	reality	8	3.66133934000604	46084	2.85	4.639999866485596	2.359999895095825	1.5833333730697632
0	abstract_construct	Ironie	irony	6	3.151676230847048	6591	2.75	4.400000095367432	0.9599999785423279	0.800000011920929
0	abstract_construct	Thema	theme	5	3.959994838328416	224755	2.0	4.235294342041016	1.25	1.5625
0	social_construct	Vertrag	treaty	7	3.8966364305295844	52193	1.8	4.375	3.0	3.8399999141693115
0	social_construct	Moral	moral	5	3.387567779417189	15410	1.95	4.2727274894714355	0.8636363744735718	0.5454545617103577
0	social_construct	Mitleid	mercy	7	3.6334684555795866	6360	3.0	4.111111164093018	1.2105263471603394	1.4444444179534912
0	social_construct	Etikette	etiquette	8	2.3541084391474008	919	3.55	3.7647058963775635	2.882352828979492	2.058823585510254
0	social_construct	Ausrede	excuse	7	3.3138672203691533	1903	2.65	3.3333332538604736	1.3888888359069824	1.3888888359069824
0	social_construct	Satire	satire	6	2.0827853703164503	3242	2.5	3.2727272510528564	1.8181818723678589	1.3181818723678589
0	social_construct	Gerücht	rumor	7	3.325515663363148	3532	1.75	3.2666666507720947	1.75	2.133333444595337
0	social_construct	Betrug	deceit	6	3.4156409798961542	6251	1.8	2.7727272510528564	1.7826087474822998	1.2173912525177002
